run_id,scenario,transport,filesize,domain,resolved_ip,path,dns_time_s,dns_retries,http_time_s,total_time_s,bytes,throughput_mbps,retransmissions,status,auth_ok,ok,timestamp
1,A,tcp,100kb,webserver.redes2.local,172.28.0.10,/file_100kb.bin,0.04980488800038074,0,0.11665975200003231,0.16715160000012474,102400,7.022130477354119,0,HTTP/1.1 200 OK,True,True,1782072977.10169
2,A,tcp,100kb,webserver.redes2.local,172.28.0.10,/file_100kb.bin,0.02073408099977314,0,0.08465257700026996,0.10560974000009082,102400,9.67720096692848,0,HTTP/1.1 200 OK,True,True,1782072977.4717522
3,A,tcp,100kb,webserver.redes2.local,172.28.0.10,/file_100kb.bin,0.021326192999822524,0,0.08188556100003552,0.10334430099965175,102400,10.004205747575504,0,HTTP/1.1 200 OK,True,True,1782072977.8524609
4,A,tcp,100kb,webserver.redes2.local,172.28.0.10,/file_100kb.bin,0.02103430400029538,0,0.081511318000139,0.10297487000025285,102400,10.05013806792577,0,HTTP/1.1 200 OK,True,True,1782072978.2275457
5,A,tcp,100kb,webserver.redes2.local,172.28.0.10,/file_100kb.bin,0.020560896000006323,0,0.0813747649999641,0.10206315000004906,102400,10.067002958476886,0,HTTP/1.1 200 OK,True,True,1782072978.5676525
6,A,tcp,100kb,webserver.redes2.local,172.28.0.10,/file_100kb.bin,0.020772428999862314,0,0.08138566999969044,0.10233840199998667,102400,10.065654064199705,0,HTTP/1.1 200 OK,True,True,1782072978.9064944
7,A,tcp,100kb,webserver.redes2.local,172.28.0.10,/file_100kb.bin,0.020687013000042498,0,0.08107842599974902,0.10200958799987347,102400,10.103797525651718,0,HTTP/1.1 200 OK,True,True,1782072979.249206
8,A,tcp,100kb,webserver.redes2.local,172.28.0.10,/file_100kb.bin,0.020643421999920974,0,0.08141815099997984,0.10279266599991388,102400,10.061638466835273,0,HTTP/1.1 200 OK,True,True,1782072979.5933893
9,A,tcp,100kb,webserver.redes2.local,172.28.0.10,/file_100kb.bin,0.020558791999974346,0,0.08136217999981454,0.10204201000033208,102400,10.06856010989218,0,HTTP/1.1 200 OK,True,True,1782072979.9282274
10,A,tcp,100kb,webserver.redes2.local,172.28.0.10,/file_100kb.bin,0.021127833000264218,0,0.08134423699993931,0.1030809250000857,102400,10.070781043783239,0,HTTP/1.1 200 OK,True,True,1782072980.2739904
1,A,rudp,100kb,webserver.redes2.local,172.28.0.10,/file_100kb.bin,0.020687775000169495,0,1.817271941999934,1.8385171939999054,102400,0.45078558748805564,0,HTTP/1.1 200 OK,True,True,1782072982.442439
2,A,rudp,100kb,webserver.redes2.local,172.28.0.10,/file_100kb.bin,0.020741582000027847,0,1.7927887280002324,1.8137564849998853,102400,0.45694173953992745,0,HTTP/1.1 200 OK,True,True,1782072984.5065079
3,A,rudp,100kb,webserver.redes2.local,172.28.0.10,/file_100kb.bin,0.020427963999736676,0,1.7935792640000727,1.8146856599996681,102400,0.4567403384074621,0,HTTP/1.1 200 OK,True,True,1782072986.641059
4,A,rudp,100kb,webserver.redes2.local,172.28.0.10,/file_100kb.bin,0.021105717999944318,0,1.8088032949999615,1.8301804099996843,102400,0.45289612323490236,0,HTTP/1.1 200 OK,True,True,1782072988.731867
5,A,rudp,100kb,webserver.redes2.local,172.28.0.10,/file_100kb.bin,0.020805557999665325,0,1.8046329789999618,1.826084806000381,102400,0.4539427182883248,0,HTTP/1.1 200 OK,True,True,1782072990.8168743
6,A,rudp,100kb,webserver.redes2.local,172.28.0.10,/file_100kb.bin,0.02077036799983034,0,1.8000846129998536,1.8214309259997208,102400,0.4550897186076145,0,HTTP/1.1 200 OK,True,True,1782072992.9032738
7,A,rudp,100kb,webserver.redes2.local,172.28.0.10,/file_100kb.bin,0.020984181000130775,0,1.798884125999848,1.820022833999701,102400,0.45539342315596665,0,HTTP/1.1 200 OK,True,True,1782072995.0035882
8,A,rudp,100kb,webserver.redes2.local,172.28.0.10,/file_100kb.bin,0.020590628999798355,0,1.7977528939995864,1.8185720449996552,102400,0.45567997845213787,0,HTTP/1.1 200 OK,True,True,1782072997.0616345
9,A,rudp,100kb,webserver.redes2.local,172.28.0.10,/file_100kb.bin,0.020496911000009277,0,1.798469899000338,1.8191064889997506,102400,0.4554983102332401,0,HTTP/1.1 200 OK,True,True,1782072999.1535196
10,A,rudp,100kb,webserver.redes2.local,172.28.0.10,/file_100kb.bin,0.02050314700045419,0,1.7961728130003394,1.8167951489995176,102400,0.45608083702792646,0,HTTP/1.1 200 OK,True,True,1782073001.2740455
1,A,tcp,1mb,webserver.redes2.local,172.28.0.10,/file_1mb.bin,0.02062796999962302,0,0.18204779300049267,0.20319924900013575,1048576,46.07915241234096,0,HTTP/1.1 200 OK,True,True,1782073001.8155594
2,A,tcp,1mb,webserver.redes2.local,172.28.0.10,/file_1mb.bin,0.020848687000579957,0,0.1731560089992854,0.19510570999955235,1048576,48.44537621581829,0,HTTP/1.1 200 OK,True,True,1782073002.286343
3,A,tcp,1mb,webserver.redes2.local,172.28.0.10,/file_1mb.bin,0.020390874999975495,0,0.17762700899947959,0.1985597590000907,1048576,47.22597113609326,0,HTTP/1.1 200 OK,True,True,1782073002.7385375
4,A,tcp,1mb,webserver.redes2.local,172.28.0.10,/file_1mb.bin,0.020575835999807168,0,0.18442282600062754,0.20601305099989986,1048576,45.48573613101154,0,HTTP/1.1 200 OK,True,True,1782073003.2094553
5,A,tcp,1mb,webserver.redes2.local,172.28.0.10,/file_1mb.bin,0.02047138299985818,0,0.17645810100020753,0.19822191699950054,1048576,47.538809226957135,0,HTTP/1.1 200 OK,True,True,1782073003.651385
6,A,tcp,1mb,webserver.redes2.local,172.28.0.10,/file_1mb.bin,0.02090630200018495,0,0.17305773699990823,0.19446279400017374,1048576,48.47288624838801,0,HTTP/1.1 200 OK,True,True,1782073004.117951
7,A,tcp,1mb,webserver.redes2.local,172.28.0.10,/file_1mb.bin,0.04204780399959418,0,0.18814923699937935,0.23087865399975271,1048576,44.58486323825842,0,HTTP/1.1 200 OK,True,True,1782073004.7198477
8,A,tcp,1mb,webserver.redes2.local,172.28.0.10,/file_1mb.bin,0.020802240999728383,0,0.1848130250000395,0.2062681050001629,1048576,45.38970129404141,0,HTTP/1.1 200 OK,True,True,1782073005.2064447
9,A,tcp,1mb,webserver.redes2.local,172.28.0.10,/file_1mb.bin,0.020499694000136515,0,0.17199069199978112,0.19298231700031465,1048576,48.77361619087314,0,HTTP/1.1 200 OK,True,True,1782073005.6858613
